mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
2.8,"114 km NW of Yakutat, Alaska",1652308872210,1652309469040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022610qtce,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022610qtce&format=geojson,,,,,automatic,0,121,ak,022610qtce,",us6000hkgc,ak022610qtce,",",us,ak,",",origin,phase-data,",,,0.87,,ml,earthquake,"M 2.8 - 114 km NW of Yakutat, Alaska"
1.11,"20km E of Julian, CA",1652308793110,1652313492710,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015967,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015967&format=geojson,,,,,reviewed,0,19,ci,40015967,",ci40015967,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",34.0,0.04714,0.16,56.0,ml,earthquake,"M 1.1 - 20km E of Julian, CA"
0.31,"2 km NW of Metchosin, Canada",1652308529410,1652391435520,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61830572,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61830572&format=geojson,,,,,reviewed,0,1,uw,61830572,",uw61830572,",",uw,",",origin,phase-data,",6.0,0.1571,0.44,119.0,md,explosion,"M 0.3 Explosion - 2 km NW of Metchosin, Canada"
0.0,"38 km NE of Amboy, Washington",1652308390190,1652387227940,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61830567,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61830567&format=geojson,,,,,reviewed,0,0,uw,61830567,",uw61830567,",",uw,",",origin,phase-data,",7.0,0.01426,0.1,172.0,ml,earthquake,"M 0.0 - 38 km NE of Amboy, Washington"
1.61,"14 km WSW of Quinton, Oklahoma",1652308107859,1652362483245,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022jffw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022jffw&format=geojson,,,,,reviewed,0,40,ok,2022jffw,",ok2022jffw,",",ok,",",origin,phase-data,",36.0,0.1241756325,0.28,99.0,ml,earthquake,"M 1.6 - 14 km WSW of Quinton, Oklahoma"
2.2,"10km WSW of Niland, CA",1652307962790,1652313266250,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015943,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015943&format=geojson,,,,,reviewed,0,74,ci,40015943,",ci40015943,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",41.0,0.01456,0.21,43.0,ml,earthquake,"M 2.2 - 10km WSW of Niland, CA"
5.1,"76 km SSW of Panguna, Papua New Guinea",1652307896679,1652308972040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hkgb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hkgb&format=geojson,,,,,reviewed,0,400,us,6000hkgb,",us6000hkgb,",",us,",",origin,phase-data,",,4.026,0.58,65.0,mb,earthquake,"M 5.1 - 76 km SSW of Panguna, Papua New Guinea"
0.84,"1km NNW of The Geysers, CA",1652306637370,1652307911403,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732336,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732336&format=geojson,,,,,automatic,0,11,nc,73732336,",nc73732336,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01327,0.03,116.0,md,earthquake,"M 0.8 - 1km NNW of The Geysers, CA"
0.35,"7km NW of The Geysers, CA",1652305909380,1652307251332,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732326,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732326&format=geojson,,,,,automatic,0,2,nc,73732326,",nc73732326,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.003504,0.0,191.0,md,earthquake,"M 0.4 - 7km NW of The Geysers, CA"
0.85,"8km NW of The Geysers, CA",1652305564440,1652306721253,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732321,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732321&format=geojson,,,,,automatic,0,11,nc,73732321,",nc73732321,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.007099,0.02,77.0,md,earthquake,"M 0.9 - 8km NW of The Geysers, CA"
0.52,"89 km W of Adak, Alaska",1652304939890,1652338280100,,https://earthquake.usgs.gov/earthquakes/eventpage/av91558131,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91558131&format=geojson,,,,,reviewed,0,4,av,91558131,",av91558131,",",av,",",origin,phase-data,",6.0,,0.11,165.0,ml,earthquake,"M 0.5 - 89 km W of Adak, Alaska"
0.85,"8km NW of The Geysers, CA",1652304647790,1652313611086,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732316,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732316&format=geojson,,,,,automatic,0,11,nc,73732316,",nc73732316,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.01008,0.02,49.0,md,earthquake,"M 0.9 - 8km NW of The Geysers, CA"
0.48,"13km WNW of Anza, CA",1652304602390,1652312768317,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015839,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015839&format=geojson,,,,,reviewed,0,4,ci,40015839,",ci40015839,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.03443,0.06,145.0,ml,earthquake,"M 0.5 - 13km WNW of Anza, CA"
1.17,"13km NW of The Geysers, CA",1652304063170,1652312051123,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732301,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732301&format=geojson,,,,,automatic,0,21,nc,73732301,",nc73732301,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.006605,0.03,89.0,md,earthquake,"M 1.2 - 13km NW of The Geysers, CA"
2.04,"10 km SSW of Leilani Estates, Hawaii",1652303632580,1652304367750,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73009757,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73009757&format=geojson,,,,,reviewed,0,64,hv,73009757,",hv73009757,",",hv,",",origin,phase-data,",36.0,,0.2,226.0,md,earthquake,"M 2.0 - 10 km SSW of Leilani Estates, Hawaii"
1.98,"6 km W of Fuig, Puerto Rico",1652303508690,1652305372080,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71348453,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71348453&format=geojson,,,,,reviewed,0,60,pr,71348453,",pr71348453,",",pr,",",origin,phase-data,",3.0,,0.04,178.0,md,earthquake,"M 2.0 - 6 km W of Fuig, Puerto Rico"
1.5,"31 km SE of Chickaloon, Alaska",1652302922844,1652303619923,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02260zx01i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02260zx01i&format=geojson,,,,,automatic,0,35,ak,02260zx01i,",ak02260zx01i,",",ak,",",origin,phase-data,",,,1.12,,ml,earthquake,"M 1.5 - 31 km SE of Chickaloon, Alaska"
1.05,"9km NE of Coso Junction, CA",1652302850760,1652392165805,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015815,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015815&format=geojson,,,,,reviewed,0,17,ci,40015815,",ci40015815,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.02385,0.07,67.0,ml,earthquake,"M 1.1 - 9km NE of Coso Junction, CA"
0.88,"12 km SSE of Red Rock, Oklahoma",1652302088310,1652361194759,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022jfco,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022jfco&format=geojson,,,,,reviewed,0,12,ok,2022jfco,",ok2022jfco,",",ok,",",origin,phase-data,",12.0,0.1025798703,0.17,176.0,ml,earthquake,"M 0.9 - 12 km SSE of Red Rock, Oklahoma"
0.78,"7km WSW of Corona, CA",1652301785370,1652360516917,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015799,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015799&format=geojson,6.0,2.7,,,reviewed,0,11,ci,40015799,",ci40015799,",",ci,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",10.0,0.06389,0.09,160.0,ml,earthquake,"M 0.8 - 7km WSW of Corona, CA"
0.85,"8km WNW of Cobb, CA",1652301525510,1652310490606,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732281,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732281&format=geojson,,,,,automatic,0,11,nc,73732281,",nc73732281,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01335,0.01,58.0,md,earthquake,"M 0.9 - 8km WNW of Cobb, CA"
0.66,"16km SSW of Mammoth Lakes, CA",1652301318660,1652332149955,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732276,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732276&format=geojson,,,,,reviewed,0,7,nc,73732276,",nc73732276,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.101,0.16,188.0,md,earthquake,"M 0.7 - 16km SSW of Mammoth Lakes, CA"
0.86,"9km NW of The Geysers, CA",1652301235140,1652302935851,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732266,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732266&format=geojson,,,,,automatic,0,11,nc,73732266,",nc73732266,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.003897,0.02,106.0,md,earthquake,"M 0.9 - 9km NW of The Geysers, CA"
0.77,"17km WSW of Toms Place, CA",1652301131010,1652331671367,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732271,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732271&format=geojson,,,,,reviewed,0,9,nc,73732271,",nc73732271,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.1018,0.04,241.0,md,earthquake,"M 0.8 - 17km WSW of Toms Place, CA"
0.46,"7km W of Cobb, CA",1652300797130,1652308630458,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732256,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732256&format=geojson,,,,,automatic,0,3,nc,73732256,",nc73732256,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.009683,0.01,68.0,md,earthquake,"M 0.5 - 7km W of Cobb, CA"
1.29,"2km NNW of The Geysers, CA",1652300649100,1652345051511,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732261,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732261&format=geojson,,,,,reviewed,0,26,nc,73732261,",nc73732261,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.0114,0.02,94.0,md,earthquake,"M 1.3 - 2km NNW of The Geysers, CA"
1.35,"1km NW of The Geysers, CA",1652300646560,1652346671705,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732251,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732251&format=geojson,,,,,reviewed,0,28,nc,73732251,",nc73732251,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",43.0,0.01378,0.04,72.0,md,earthquake,"M 1.4 - 1km NW of The Geysers, CA"
0.05,"38 km NNE of Amboy, Washington",1652300575880,1652308525270,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61830547,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61830547&format=geojson,,,,,reviewed,0,0,uw,61830547,",uw61830547,",",uw,",",origin,phase-data,",12.0,0.006345,0.13,76.0,ml,earthquake,"M 0.1 - 38 km NNE of Amboy, Washington"
1.8,"22 km W of Valdez, Alaska",1652300510424,1652311143102,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02260zfqpw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02260zfqpw&format=geojson,,,,,automatic,0,50,ak,02260zfqpw,",ak02260zfqpw,",",ak,",",origin,phase-data,",,,0.86,,ml,ice quake,"M 1.8 Ice Quake - 22 km W of Valdez, Alaska"
1.5,"15 km NE of Skwentna, Alaska",1652300395430,1652301405701,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02260zfbqs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02260zfbqs&format=geojson,,,,,automatic,0,35,ak,02260zfbqs,",ak02260zfbqs,",",ak,",",origin,phase-data,",,,0.57,,ml,earthquake,"M 1.5 - 15 km NE of Skwentna, Alaska"
0.59,"21 km N of Atka, Alaska",1652300169130,1652338103440,,https://earthquake.usgs.gov/earthquakes/eventpage/av91558076,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91558076&format=geojson,,,,,reviewed,0,5,av,91558076,",av91558076,",",av,",",origin,phase-data,",7.0,,0.09,139.0,ml,earthquake,"M 0.6 - 21 km N of Atka, Alaska"
1.55,"12km NE of San Simeon, CA",1652299794580,1652355910534,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732241,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732241&format=geojson,1.0,2.0,,,reviewed,0,37,nc,73732241,",nc73732241,",",nc,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",22.0,0.06576,0.05,79.0,md,earthquake,"M 1.6 - 12km NE of San Simeon, CA"
1.54,"7 km N of Mill Creek, Oklahoma",1652299709739,1652361965250,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022jfbg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022jfbg&format=geojson,,,,,reviewed,0,36,ok,2022jfbg,",ok2022jfbg,",",ok,",",origin,phase-data,",55.0,0.2753459677,0.43,129.0,ml,quarry blast,"M 1.5 Quarry Blast - 7 km N of Mill Creek, Oklahoma"
0.97,"3 km N of Metchosin, Canada",1652299619450,1652309721320,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61830542,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61830542&format=geojson,,,,,reviewed,0,14,uw,61830542,",uw61830542,",",uw,",",origin,phase-data,",7.0,0.137,0.15,83.0,ml,explosion,"M 1.0 Explosion - 3 km N of Metchosin, Canada"
3.1,"16 km WSW of Sand Point, Alaska",1652299520163,1652300294040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hkfi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hkfi&format=geojson,,,,,reviewed,0,148,us,6000hkfi,",us6000hkfi,",",us,",",origin,phase-data,",,0.166,0.81,125.0,ml,earthquake,"M 3.1 - 16 km WSW of Sand Point, Alaska"
0.51,"21km ESE of Anza, CA",1652299192310,1652391985140,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015775,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015775&format=geojson,,,,,reviewed,0,4,ci,40015775,",ci40015775,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.02422,0.12,136.0,ml,earthquake,"M 0.5 - 21km ESE of Anza, CA"
1.84000003,"3 km S of P?hala, Hawaii",1652298661790,1652298858220,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73009697,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73009697&format=geojson,,,,,automatic,0,52,hv,73009697,",hv73009697,",",hv,",",origin,phase-data,",32.0,,0.109999999,99.0,md,earthquake,"M 1.8 - 3 km S of P?hala, Hawaii"
2.03,"6km WNW of The Geysers, CA",1652298634270,1652305692246,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732236,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732236&format=geojson,,,,,automatic,0,63,nc,73732236,",nc73732236,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",39.0,0.01184,0.03,50.0,md,earthquake,"M 2.0 - 6km WNW of The Geysers, CA"
1.42,"2km SE of Home Gardens, CA",1652297926120,1652302408460,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015767,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015767&format=geojson,,,,,reviewed,0,31,ci,40015767,",ci40015767,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",48.0,0.06826,0.23,36.0,ml,quarry blast,"M 1.4 Quarry Blast - 2km SE of Home Gardens, CA"
4.6,"62 km E of Sarangani, Philippines",1652296375722,1652297384040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hkf7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hkf7&format=geojson,,,,,reviewed,0,326,us,6000hkf7,",us6000hkf7,",",us,",",origin,phase-data,",,1.725,1.1,84.0,mb,earthquake,"M 4.6 - 62 km E of Sarangani, Philippines"
0.7,"3km W of Cobb, CA",1652295924770,1652303171873,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732221,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732221&format=geojson,,,,,automatic,0,8,nc,73732221,",nc73732221,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.01398,0.03,122.0,md,earthquake,"M 0.7 - 3km W of Cobb, CA"
1.39,"4 km S of Owasso, Oklahoma",1652295775850,1652296425866,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022jezc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022jezc&format=geojson,,,,,reviewed,0,30,ok,2022jezc,",ok2022jezc,",",ok,",",origin,phase-data,",59.0,0.3185374921,0.55,126.0,ml,quarry blast,"M 1.4 Quarry Blast - 4 km S of Owasso, Oklahoma"
-0.82,"87 km NNW of Karluk, Alaska",1652295576840,1652337907720,,https://earthquake.usgs.gov/earthquakes/eventpage/av91058258,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91058258&format=geojson,,,,,reviewed,0,0,av,91058258,",av91058258,",",av,",",origin,phase-data,",4.0,,0.13,139.0,ml,earthquake,"M -0.8 - 87 km NNW of Karluk, Alaska"
4.4,"62 km NNE of Lubuklinggau, Indonesia",1652295135293,1652296253040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hkf4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hkf4&format=geojson,,,,,reviewed,0,298,us,6000hkf4,",us6000hkf4,",",us,",",origin,phase-data,",,1.557,0.66,119.0,mb,earthquake,"M 4.4 - 62 km NNE of Lubuklinggau, Indonesia"
1.3,"107 km NW of Yakutat, Alaska",1652294807616,1652295504214,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02260ye86y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02260ye86y&format=geojson,,,,,automatic,0,26,ak,02260ye86y,",ak02260ye86y,",",ak,",",origin,phase-data,",,,0.67,,ml,earthquake,"M 1.3 - 107 km NW of Yakutat, Alaska"
1.12,"12km SW of Searles Valley, CA",1652294573060,1652295557331,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015735,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015735&format=geojson,,,,,reviewed,0,19,ci,40015735,",ci40015735,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.1242,0.11,84.0,ml,earthquake,"M 1.1 - 12km SW of Searles Valley, CA"
1.9,"30 km NW of Petersville, Alaska",1652294165673,1652294841015,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02260ybzs9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02260ybzs9&format=geojson,,,,,automatic,0,56,ak,02260ybzs9,",ak02260ybzs9,",",ak,",",origin,phase-data,",,,0.51,,ml,earthquake,"M 1.9 - 30 km NW of Petersville, Alaska"
1.7,"7 km E of Livengood, Alaska",1652293779963,1652294572977,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02260yakf5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02260yakf5&format=geojson,,,,,automatic,0,44,ak,02260yakf5,",ak02260yakf5,",",ak,",",origin,phase-data,",,,1.1,,ml,earthquake,"M 1.7 - 7 km E of Livengood, Alaska"
-0.31,"83 km W of Adak, Alaska",1652293561690,1652337676790,,https://earthquake.usgs.gov/earthquakes/eventpage/av91058253,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91058253&format=geojson,,,,,reviewed,0,0,av,91058253,",av91058253,",",av,",",origin,phase-data,",4.0,,0.15,201.0,ml,earthquake,"M -0.3 - 83 km W of Adak, Alaska"
1.25,"2 km SSE of Powers, Oregon",1652293414710,1652309263450,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61830477,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61830477&format=geojson,,,,,reviewed,0,24,uw,61830477,",uw61830477,",",uw,",",origin,phase-data,",6.0,0.005826,0.22,108.0,ml,explosion,"M 1.3 Explosion - 2 km SSE of Powers, Oregon"
0.49,"31 km S of Silver Gate, Montana",1652293329540,1652297535950,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60497347,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60497347&format=geojson,,,,,reviewed,0,4,uu,60497347,",uu60497347,",",uu,",",origin,phase-data,",5.0,0.07741,0.08,154.0,md,earthquake,"M 0.5 - 31 km S of Silver Gate, Montana"
1.12,"9km NE of Ridgecrest, CA",1652293195800,1652295236519,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40015711,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40015711&format=geojson,,,,,reviewed,0,19,ci,40015711,",ci40015711,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.05683,0.14,78.0,ml,earthquake,"M 1.1 - 9km NE of Ridgecrest, CA"
4.4,"139 km E of Namie, Japan",1652292997960,1652294453040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000hkey,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000hkey&format=geojson,,,,,reviewed,0,298,us,6000hkey,",us6000hkey,",",us,",",origin,phase-data,",,3.455,1.06,139.0,mb,earthquake,"M 4.4 - 139 km E of Namie, Japan"
0.33,"7km W of Cobb, CA",1652292721320,1652301611855,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73732216,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73732216&format=geojson,,,,,automatic,0,2,nc,73732216,",nc73732216,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01104,0.01,70.0,md,earthquake,"M 0.3 - 7km W of Cobb, CA"
